OP      ALUOP[1]    ALUOP[0]    ALUS    ALUI    ALUARI  ALULEF  ALUSUB  BT  JR  J   WriRT   WriRS   Wri13   BraRS   RegWri' RegWriI RegWriPC    RegWriMem   MemWri'
slt     1           1           0       0       X       X       X       0   0   0   0       0       0       0       0       0       0           0           1       KEEP
nand    0           1           0       0       X       X       X       0   0   0   0       0       0       0       0       0       0           0           1       KEEP
j       X           X           X       X       X       X       X       0   0   1   X       X       X       X       1       X       X           X           1       KEEP
jal     X           X           X       X       X       X       X       0   0   1   X       X       1       X       0       0       1           0           1       KEEP
sub     0           0           0       0       X       X       1       0   0   0   0       0       0       0       0       0       0           0           1
add     0           0           0       0       X       X       0       0   0   0   0       0       0       0       0       0       0           0           1
inc     0           0           X       1       X       X       0       0   0   0   X       1       0       0       0       0       0           0           1       KEEP
srl     1           0           X       X       0       1       X       0   0   0   1       0       0       0       0       0       0           0           1       KEEP
sra     1           0           X       X       1       0       X       0   0   0   1       0       0       0       0       0       0           0           1       KEEP
jr      0           0           X       1       X       X       0       0   1   0   X       X       X       0       1       X       X           X           1       KEEP
bne     0           0           0       0       X       X       1       A'  0   0   X       X       X       1       1       X       X           X           1
beq     0           0           0       0       X       X       1       A   0   0   X       X       X       1       1       X       X           X           1
li      X           X           X       X       X       X       X       0   0   0   X       1       0       X       0       1       0           0           1       KEEP
lw      0           0           1       0       X       X       0       0   0   0   1       0       0       0       0       0       0           1           1       KEEP
sw      0           0           1       0       X       X       0       0   0   0   X       X       X       0       1       X       X           X           0       KEEP
sll     1           0           X       X       X       1       X       0   0   0   1       0       0       0       0       0       0           0           1       KEEP

        xx00        00xx        

0000    0000
0001    0001
0010    0011
0011    0010
0100    0110
0101    0111
0110    0101
0111    0100
1000    1100
1001    1101
1010    1111
1011    1110
1100    1010
1101    1011
1110    1001
1111    1000
